asset,side,threshold,xi,beta,VaR_99%,ES_99%,num_excesses
^GSPC,positive,1.2701306333128066,0.025529315981228956,0.22167909221887408,1.7958665024186495,2.0371264738057566,7
^GSPC,negative,1.0124699746939727,,,,,4
^GDAXI,positive,1.3458638649729453,1.610562208058115,0.027332787512763444,1.9226422373926777,,6
^GDAXI,negative,1.2401852889934504,,,,,4
^FCHI,positive,1.4492195686294556,-1.4892249350121403,0.7881044402035106,1.959975796144155,1.9710127780132738,6
^FCHI,negative,1.2807070664899862,,,,,4
^N225,positive,1.295863579533904,-0.45290902313334425,0.4185282007839191,1.8880129941797277,1.9914870489581047,7
^N225,negative,1.2003808455036165,,,,,4
^BVSP,positive,1.4165300573368897,-1.4155015700901976,0.9465408160580462,2.060980899992328,2.075188978702888,5
^BVSP,negative,1.1277265003966648,1.1806738352484902,0.11450572025490263,2.500925061612358,,6
^NSEI,positive,1.503654684218522,-0.6861558881601957,0.31178130943442356,1.8608062873844322,1.9003753654422626,7
^NSEI,negative,1.09554108384905,,,,,3
